Service Area,Account Description,Creditor,Transaction Date,JV Reference,JV Date,JV Value
Childrens Services,IT Services,123-REG.CO.UK,23/04/2014,93,20/05/2014,143.81
Childrens Services,Other Services,ACCESS EXPEDITIONS,03/04/2014,111,20/05/2014,"6,000.00"
Childrens Services,Equipment and Materials Repair,AFE SERVICELINE,02/04/2014,6,20/05/2014,309.38
Childrens Services,Equipment and Materials Repair,AFE SERVICELINE,02/04/2014,7,20/05/2014,218.76
Childrens Services,Building Repairs & Maintenance,ALLSOP & FRANCIS,15/04/2014,381,20/05/2014,306
Childrens Services,Equipment and Materials Purcha,APPLE ITUNES STORE-,18/04/2014,207,20/05/2014,7.32
Childrens Services,Equipment and Materials Purcha,APPLE ITUNES STORE-,23/04/2014,208,20/05/2014,0.99
Childrens Services,Equipment and Materials Purcha,APPLE ITUNES STORE-,03/04/2014,200,20/05/2014,7.32
Childrens Services,Equipment and Materials Purcha,APPLE ITUNES STORE-,03/04/2014,201,20/05/2014,1.98
Childrens Services,Equipment and Materials Purcha,APPLE ITUNES STORE-,10/04/2014,204,20/05/2014,2.97
Childrens Services,Equipment and Materials Purcha,APPLE ITUNES STORE-,17/04/2014,206,20/05/2014,4.94
Childrens Services,Equipment and Materials Purcha,ARGOS LTD,16/04/2014,73,20/05/2014,28.49
Childrens Services,Other Transfer Payments to Soc,ARGOS LTD,04/04/2014,291,20/05/2014,240
Childrens Services,Equipment and Materials Purcha,ARGOS RETAIL GROUP,29/04/2014,226,20/05/2014,56.99
Childrens Services,Equipment and Materials Purcha,ARGOS RETAIL GROUP,29/04/2014,227,20/05/2014,94.94
Childrens Services,Cleaning and domestic material,ASDA HOME DELIVERY,15/04/2014,48,20/05/2014,17.31
Childrens Services,Cleaning and domestic material,ASDA HOME DELIVERY,29/04/2014,63,20/05/2014,13.7
Childrens Services,Cleaning and domestic material,ASDA HOME DELIVERY,21/04/2014,54,20/05/2014,10
Childrens Services,Food Costs,ASDA HOME DELIVERY,29/04/2014,64,20/05/2014,271.32
Childrens Services,Food Costs,ASDA HOME DELIVERY,23/04/2014,56,20/05/2014,167.67
Childrens Services,Food Costs,ASDA HOME DELIVERY,21/04/2014,53,20/05/2014,47.58
